job_id,title,company,city,location,work_mode,applications,posted_before,skills,url
4221150989,Servitör,Prime consulting sweden,Malmo,"Malmo, Skåne County, Sweden",On-site,36.0,Reposted 2 days ago,"English, teamwork, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4221150989&keywords=&location=Sweden&start=0
4278930881,Translator - Swedish,Testronic,Sweden,Sweden,Remote,90.0,1 week ago,"Translation, Text, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4278930881&keywords=&location=Sweden&start=0
4273249308,"Restaurangmedarbetare , Malmö",Holy Greens,Malmo,"Malmo, Skåne County, Sweden",On-site,36.0,1 week ago,Operations Management,https://www.linkedin.com/jobs/search/?currentJobId=4273249308&keywords=&location=Sweden&start=0
4269101191,Healthcare Assistant - No Experience Needed - Work In Ireland - Paid Relocation,Mercier Consultancy Bulgaria,Sweden,Sweden,Remote,100.0,3 weeks ago,"Patient Care, Attention to Details, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4269101191&keywords=&location=Sweden&start=0
4278729231,Spontanansökan,Skåne Stadsmission,Malmo,"Malmo, Skåne County, Sweden",On-site,36.0,1 week ago,"AV, Operations Management",https://www.linkedin.com/jobs/search/?currentJobId=4278729231&keywords=&location=Sweden&start=0
4269641192,Lokalvårdare (75 %) till Serviceenheten,Länsstyrelsen Uppsala Län,Uppsala,"Uppsala, Uppsala County, Sweden",,10.0,2 weeks ago,"Housekeeping, Public Sector, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4269641192&keywords=&location=Sweden&start=0
4278377554,Receptionist på deltid,ISS Sweden,Stockholm,"Stockholm, Stockholm County, Sweden",On-site,58.0,1 week ago,"Fax, Office Equipment, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4278377554&keywords=&location=Sweden&start=0
4266954276,Junior legal Assistant,Bird & Bird,Stockholm,"Stockholm, Stockholm County, Sweden",On-site,100.0,3 weeks ago,Administrative Assistance,https://www.linkedin.com/jobs/search/?currentJobId=4266954276&keywords=&location=Sweden&start=0
4265890454,Hovmästare till Pinchos Uppsala på 20-30h/vecka,Pincho Nation,Uppsala,"Uppsala, Uppsala County, Sweden",On-site,3.0,3 weeks ago,"Food & Beverage, Catering Service, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4265890454&keywords=&location=Sweden&start=0
4275621797,Recepionist,JLL,Greater Stockholm Metropolitan Area,Greater Stockholm Metropolitan Area,On-site,100.0,2 weeks ago,"Office equipment, reception desk, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4275621797&keywords=&location=Sweden&start=0
4266102847,Hovmästare till Pinchos Uppsala på 20-30h/vecka,Pinchos,Gränby,"Gränby, Uppsala County, Sweden",On-site,6.0,3 weeks ago,"Food & Beverage, Catering Service, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4266102847&keywords=&location=Sweden&start=0
4274039563,Städare / Cleaner,Sigtuna Flytt & Städservice AB,Sigtuna,"Sigtuna, Stockholm County, Sweden",On-site,16.0,1 week ago,"Housekeeping, Counter Work, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4274039563&keywords=&location=Sweden&start=0
4273204650,Jobb Vägtrafikledare,Järnvägsjobb,Stockholm,"Stockholm, Stockholm County, Sweden",On-site,12.0,1 week ago,"AV, SOS, +2 more",https://www.linkedin.com/jobs/search/?currentJobId=4273204650&keywords=&location=Sweden&start=0
4264413179,Serveringspersonal till Banquet & Event,Svenska Mässan,Gothenburg,"Gothenburg, Västra Götaland County, Sweden",,31.0,3 weeks ago,"Food & Beverage, Catering Service, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4264413179&keywords=&location=Sweden&start=0
4279251026,Extrajobba som receptionist i Turning Torso!,HSB Göteborg,Malmo,"Malmo, Skåne County, Sweden",On-site,23.0,4 days ago,"Office Equipment, Fax, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4279251026&keywords=&location=Sweden&start=0
4278309916,1st Line Support,Crediflow,Täby,"Täby, Stockholm County, Sweden",On-site,19.0,4 days ago,"Windows Server, 2nd Line IT Support, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4278309916&keywords=&location=Sweden&start=0
4251778119,Är du redo att ta nästa steg i din karriär?,Sweco,Malmo,"Malmo, Skåne County, Sweden",,100.0,Reposted 6 days ago,"Analytical Skills, Child Care, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4251778119&keywords=&location=Sweden&start=0
4273053501,Cafébiträde,ELWING & CO. I STOCKHOLM AB,Stockholm,"Stockholm, Stockholm County, Sweden",On-site,28.0,1 week ago,"Catering Service, Food Safety, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4273053501&keywords=&location=Sweden&start=0
